,OFFENDER_RACE_CODE,OFFENDER_ETHNIC_CODE,count,percent
7,BLACK,AFRICAN,110913,0.5019664459600737
53,WHITE,EUROPEAN/N.AM./AUSTR,84980,0.38459971849726415
32,OTHER,HISPANIC/LATINO,7838,0.03547296532809551
19,INDIAN,AMERICAN INDIAN,4032,0.018247894386690625
10,BLACK,EUROPEAN/N.AM./AUSTR,3651,0.016523576985567327
17,BLACK,UNKNOWN,2467,0.011165068316459763
60,WHITE,UNKNOWN,1422,0.006435641323877497
43,UNKNOWN,HISPANIC/LATINO,838,0.0037925931289798467
54,WHITE,HISPANIC/LATINO,689,0.0031182537778843846
51,WHITE,AMERICAN INDIAN,596,0.002697357404381848
14,BLACK,OTHER,534,0.0024167598220468235
1,ASIAN/ORTL,ASIAN,450,0.0020365953556574358
35,OTHER,OTHER,327,0.0014799259584444033
57,WHITE,OTHER,267,0.0012083799110234118
21,INDIAN,EUROPEAN/N.AM./AUSTR,170,0.000769380467692809
59,WHITE,SLAVIC (E. EUROPEAN),157,0.0007105454907515942
50,WHITE,AFRICAN,142,0.0006426589788963463
11,BLACK,HISPANIC/LATINO,138,0.0006245559090682802
31,OTHER,EUROPEAN/N.AM./AUSTR,128,0.000579298234498115
8,BLACK,AMERICAN INDIAN,122,0.0005521436297560158
29,OTHER,AMERICAN INDIAN,104,0.00047067981552971846
22,INDIAN,HISPANIC/LATINO,101,0.0004571025131586689
28,OTHER,AFRICAN,94,0.00042542214095955323
38,OTHER,UNKNOWN,77,0.0003484840941902723
27,INDIAN,UNKNOWN,70,0.00031680372199115663
4,ASIAN/ORTL,ORIENTAL,59,0.0002670202799639749
52,WHITE,ASIAN,48,0.00021723683793679313
42,UNKNOWN,EUROPEAN/N.AM./AUSTR,39,0.00017650493082364442
36,OTHER,PACIFIC ISLANDER,32,0.00014482455862452876
46,UNKNOWN,OTHER,31,0.00014029879116751222
18,INDIAN,AFRICAN,31,0.00014029879116751222
55,WHITE,NORDIC/SCANDANAVIAN,28,0.00012672148879646266
24,INDIAN,OTHER,26,0.00011766995388242962
30,OTHER,ASIAN,24,0.00010861841896839657
49,UNKNOWN,UNKNOWN,23,0.00010409265151138005
58,WHITE,PACIFIC ISLANDER,18,8.146381422629743e-05
15,BLACK,PACIFIC ISLANDER,18,8.146381422629743e-05
39,UNKNOWN,AFRICAN,17,7.69380467692809e-05
5,ASIAN/ORTL,OTHER,16,7.241227931226438e-05
6,ASIAN/ORTL,PACIFIC ISLANDER,16,7.241227931226438e-05
34,OTHER,ORIENTAL,13,5.883497694121481e-05
41,UNKNOWN,ASIAN,13,5.883497694121481e-05
20,INDIAN,ASIAN,10,4.5257674570165234e-05
37,OTHER,SLAVIC (E. EUROPEAN),8,3.620613965613219e-05
56,WHITE,ORIENTAL,8,3.620613965613219e-05
47,UNKNOWN,PACIFIC ISLANDER,7,3.1680372199115666e-05
16,BLACK,SLAVIC (E. EUROPEAN),6,2.715460474209914e-05
9,BLACK,ASIAN,5,2.2628837285082617e-05
3,ASIAN/ORTL,HISPANIC/LATINO,5,2.2628837285082617e-05
45,UNKNOWN,ORIENTAL,3,1.357730237104957e-05
13,BLACK,ORIENTAL,3,1.357730237104957e-05
40,UNKNOWN,AMERICAN INDIAN,3,1.357730237104957e-05
2,ASIAN/ORTL,EUROPEAN/N.AM./AUSTR,3,1.357730237104957e-05
0,ASIAN/ORTL,AFRICAN,3,1.357730237104957e-05
26,INDIAN,SLAVIC (E. EUROPEAN),2,9.051534914033048e-06
33,OTHER,NORDIC/SCANDANAVIAN,1,4.525767457016524e-06
48,UNKNOWN,SLAVIC (E. EUROPEAN),1,4.525767457016524e-06
44,UNKNOWN,NORDIC/SCANDANAVIAN,1,4.525767457016524e-06
12,BLACK,NORDIC/SCANDANAVIAN,1,4.525767457016524e-06
23,INDIAN,ORIENTAL,1,4.525767457016524e-06
25,INDIAN,PACIFIC ISLANDER,1,4.525767457016524e-06
